month,start_state_id,observed_state_id,observed_change,transition_explanation,observed_transition_probability,observed_raw_transition_score,observed_rank,conditional_observed_rank,predicted_state_id,predicted_score,conditional_predicted_state_id,conditional_predicted_score,transition_mechanism,pre_normalization_probability_sum,observed_path_bottleneck,stay_cn_stable_any,stay_us_stable_any,stay_constraint_satisfied,cn_utility_start,us_utility_start,cn_utility_observed,us_utility_observed,cn_then_us_raw_component,us_then_cn_raw_component,dynamic_seed_count,dynamic_seq_stability_rate,dynamic_transition_probability,dynamic_transition_probability_q05,dynamic_transition_probability_q95,dynamic_positive_support_rate
201901,54,54,0,unstable_status_quo,,,1,,54,1.0,57,0.6666666666666666,stay,1.5,,True,False,False,158.0,31.0,158.0,31.0,0.0,0.0,500,0.956,,,,
201902,54,54,0,unstable_status_quo,,,1,,54,1.0,57,0.6666666666666666,stay,1.5,,True,False,False,158.0,31.0,158.0,31.0,0.0,0.0,500,0.946,,,,
201903,54,54,0,unstable_status_quo,,,1,,54,1.0,57,0.6666666666666666,stay,1.5,,True,False,False,158.0,31.0,158.0,31.0,0.0,0.0,500,0.544,,,,
201904,54,54,0,unstable_status_quo,,,1,,54,1.0,57,0.6666666666666666,stay,1.5,,True,False,False,158.0,31.0,158.0,31.0,0.0,0.0,500,0.894,,,,
201905,54,10,1,unsupported_transition,0.0,0.0,77,77.0,57,0.6666666666666666,57,0.6666666666666666,CN-US|US-CN,1.5,-21.0,,,,158.0,31.0,32.0,32.0,0.0,0.0,500,,0.14885333123281846,0.06333070005796156,0.4476963010061251,1.0
201906,10,38,1,unsupported_transition,0.0,0.0,77,77.0,12,0.6666666666666666,12,0.6666666666666666,CN-US|US-CN,1.5,-11.0,,,,32.0,32.0,154.0,31.0,0.0,0.0,500,,0.17577026329901474,0.07255115485042066,0.308756905090349,1.0
201907,38,38,0,unstable_status_quo,,,1,,38,1.0,54,0.3333333333333333,stay,3.0,,True,False,False,154.0,31.0,154.0,31.0,0.0,0.0,500,0.734,,,,
201908,38,44,1,immediate_utility_support,0.0160427807486631,0.0481283422459893,7,7.0,54,0.3333333333333333,54,0.3333333333333333,CN-US|US-CN,3.0,27.0,,,,154.0,31.0,48.0,50.0,0.0,0.0962566844919786,500,,0.26886234344517035,0.18282084053722608,0.4239831822891177,1.0
201909,44,54,1,unsupported_transition,0.0,0.0,77,77.0,60,0.6666666666666666,60,0.6666666666666666,CN-US|US-CN,1.5,-27.0,,,,48.0,50.0,158.0,31.0,0.0,0.0,500,,0.32139538264057244,0.23837223465915255,0.39772221983805284,1.0
201910,54,57,1,immediate_utility_support,0.6666666666666666,1.0,1,1.0,57,0.6666666666666666,57,0.6666666666666666,US,1.5,64.0,,,,158.0,31.0,158.0,95.0,0.0,0.0,500,,0.8063889090428626,0.6157904854770292,0.9694367015192492,1.0
201911,57,57,0,stable_status_quo,,,1,,57,1.0,73,1.0,stay,1.0,,True,True,True,158.0,95.0,158.0,95.0,0.0,0.0,500,0.176,,,,
201912,57,73,1,immediate_utility_support,1.0,1.0,1,1.0,73,1.0,73,1.0,CN,1.0,65.0,,,,158.0,95.0,223.0,223.0,0.0,0.0,500,,0.9816685061898502,0.8891487280151145,0.9987487597732037,1.0
202001,73,73,0,stable_status_quo,,,1,,73,1.0,1,0.0,stay,0.0,,True,True,True,223.0,223.0,223.0,223.0,0.0,0.0,500,0.998,,,,
