month,start_state_id,observed_state_id,observed_change,transition_explanation,observed_transition_probability,observed_raw_transition_score,observed_rank,conditional_observed_rank,predicted_state_id,predicted_score,conditional_predicted_state_id,conditional_predicted_score,transition_mechanism,pre_normalization_probability_sum,observed_path_bottleneck,stay_cn_stable_any,stay_us_stable_any,stay_constraint_satisfied,cn_utility_start,us_utility_start,cn_utility_observed,us_utility_observed,cn_then_us_raw_component,us_then_cn_raw_component
201901,54,54,0,unstable_status_quo,,,1,,54,1.0,57,0.6666666666666666,stay,1.5,,True,False,False,158.0,31.0,158.0,31.0,0.0,0.0
201902,54,54,0,unstable_status_quo,,,1,,54,1.0,57,0.6666666666666666,stay,1.5,,True,False,False,158.0,31.0,158.0,31.0,0.0,0.0
201903,54,54,0,unstable_status_quo,,,1,,54,1.0,57,0.6666666666666666,stay,1.5,,True,False,False,158.0,31.0,158.0,31.0,0.0,0.0
201904,54,54,0,unstable_status_quo,,,1,,54,1.0,57,0.6666666666666666,stay,1.5,,True,False,False,158.0,31.0,158.0,31.0,0.0,0.0
201905,54,10,1,unsupported_transition,0.0,0.0,77,77.0,57,0.6666666666666666,57,0.6666666666666666,CN-US|US-CN,1.5,-21.0,,,,158.0,31.0,32.0,32.0,0.0,0.0
201906,10,38,1,unsupported_transition,0.0,0.0,77,77.0,12,0.6666666666666666,12,0.6666666666666666,CN-US|US-CN,1.5,-11.0,,,,32.0,32.0,154.0,31.0,0.0,0.0
201907,38,38,0,unstable_status_quo,,,1,,38,1.0,54,0.3333333333333333,stay,3.0,,True,False,False,154.0,31.0,154.0,31.0,0.0,0.0
201908,38,44,1,immediate_utility_support,0.016042780748663103,0.04812834224598931,7,7.0,54,0.3333333333333333,54,0.3333333333333333,CN-US|US-CN,3.0,27.0,,,,154.0,31.0,48.0,50.0,0.0,0.09625668449197862
201909,44,54,1,unsupported_transition,0.0,0.0,77,77.0,60,0.6666666666666666,60,0.6666666666666666,CN-US|US-CN,1.5,-27.0,,,,48.0,50.0,158.0,31.0,0.0,0.0
201910,54,57,1,immediate_utility_support,0.6666666666666666,1.0,1,1.0,57,0.6666666666666666,57,0.6666666666666666,US,1.5,64.0,,,,158.0,31.0,158.0,95.0,0.0,0.0
201911,57,57,0,stable_status_quo,,,1,,57,1.0,73,1.0,stay,1.0,,True,True,True,158.0,95.0,158.0,95.0,0.0,0.0
201912,57,73,1,immediate_utility_support,1.0,1.0,1,1.0,73,1.0,73,1.0,CN,1.0,65.0,,,,158.0,95.0,223.0,223.0,0.0,0.0
202001,73,73,0,stable_status_quo,,,1,,73,1.0,1,0.0,stay,0.0,,True,True,True,223.0,223.0,223.0,223.0,0.0,0.0
