actor,from_state_id,to_state_id,changed_options,irreversible_commitment_edge,rationale
CN,50,10,C1|C2|C3,0,CN retaliates against US tariff pressure
CN,50,34,C2,0,CN withdraws economic concession while talks continue
CN,50,42,C1|C2,0,CN retaliates against US tariff pressure
CN,50,58,C1,0,CN retaliates against US tariff pressure
CN,51,35,C2,0,CN withdraws economic concession while talks continue
CN,52,36,C2,0,CN withdraws economic concession while talks continue
CN,53,12,C1|C2|C3,0,CN retaliates against US tariff pressure
CN,53,37,C2,0,CN withdraws economic concession while talks continue
CN,53,44,C1|C2,0,CN retaliates against US tariff pressure
CN,53,60,C1,0,CN retaliates against US tariff pressure
CN,54,38,C2,0,CN withdraws economic concession while talks continue
CN,55,39,C2,0,CN withdraws economic concession while talks continue
CN,55,71,C4,1,CN accepts written verifiable phase commitment
CN,56,15,C1|C2|C3,0,CN retaliates against US tariff pressure
CN,56,40,C2,0,CN withdraws economic concession while talks continue
CN,56,47,C1|C2,0,CN retaliates against US tariff pressure
CN,56,63,C1,0,CN retaliates against US tariff pressure
CN,56,72,C4,1,CN accepts written verifiable phase commitment
CN,56,75,C1|C4,1,CN accepts written verifiable phase commitment
CN,57,41,C2,0,CN withdraws economic concession while talks continue
CN,57,73,C4,1,CN accepts written verifiable phase commitment
CN,58,10,C2|C3,0,CN withdraws economic concession while talks continue
CN,58,42,C2,0,CN withdraws economic concession while talks continue
CN,58,50,C1,0,CN replaces retaliation with concessions under talks or easing
CN,59,35,C1|C2,0,CN replaces retaliation with concessions under talks or easing
CN,59,43,C2,0,CN withdraws economic concession while talks continue
CN,59,51,C1,0,CN replaces retaliation with concessions under talks or easing
CN,60,12,C2|C3,0,CN withdraws economic concession while talks continue
CN,60,44,C2,0,CN withdraws economic concession while talks continue
CN,60,53,C1,0,CN replaces retaliation with concessions under talks or easing
CN,61,38,C1|C2,0,CN replaces retaliation with concessions under talks or easing
CN,61,45,C2,0,CN withdraws economic concession while talks continue
CN,61,54,C1,0,CN replaces retaliation with concessions under talks or easing
CN,62,46,C2,0,CN withdraws economic concession while talks continue
CN,62,55,C1,0,CN replaces retaliation with concessions under talks or easing
CN,62,71,C1|C4,1,CN accepts written verifiable phase commitment
CN,62,74,C4,1,CN accepts written verifiable phase commitment
CN,63,15,C2|C3,0,CN withdraws economic concession while talks continue
CN,63,47,C2,0,CN withdraws economic concession while talks continue
CN,63,56,C1,0,CN replaces retaliation with concessions under talks or easing
CN,63,69,C2|C4,1,CN accepts written verifiable phase commitment
CN,63,72,C1|C4,1,CN accepts written verifiable phase commitment
CN,63,75,C4,1,CN accepts written verifiable phase commitment
CN,64,41,C1|C2,0,CN replaces retaliation with concessions under talks or easing
CN,64,48,C2,0,CN withdraws economic concession while talks continue
CN,64,57,C1,0,CN replaces retaliation with concessions under talks or easing
CN,64,73,C1|C4,1,CN accepts written verifiable phase commitment
CN,64,76,C4,1,CN accepts written verifiable phase commitment
CN,65,71,C2,0,CN replaces retaliation with concessions under talks or easing
CN,66,69,C1,0,CN retaliates against US tariff pressure
CN,66,72,C2,0,CN replaces retaliation with concessions under talks or easing
CN,66,75,C1|C2,0,CN retaliates against US tariff pressure
CN,67,73,C2,0,CN replaces retaliation with concessions under talks or easing
CN,68,65,C1,0,CN replaces retaliation with concessions under talks or easing
CN,68,71,C1|C2,0,CN replaces retaliation with concessions under talks or easing
CN,68,74,C2,0,CN replaces retaliation with concessions under talks or easing
CN,69,66,C1,0,CN replaces retaliation with concessions under talks or easing
CN,69,72,C1|C2,0,CN replaces retaliation with concessions under talks or easing
CN,69,75,C2,0,CN replaces retaliation with concessions under talks or easing
CN,70,67,C1,0,CN replaces retaliation with concessions under talks or easing
CN,70,73,C1|C2,0,CN replaces retaliation with concessions under talks or easing
CN,70,76,C2,0,CN replaces retaliation with concessions under talks or easing
CN,72,69,C1|C2,0,CN retaliates against US tariff pressure
CN,72,75,C1,0,CN retaliates against US tariff pressure
CN,74,71,C1,0,CN replaces retaliation with concessions under talks or easing
CN,75,69,C2,0,CN withdraws economic concession while talks continue
CN,75,72,C1,0,CN replaces retaliation with concessions under talks or easing
CN,76,73,C1,0,CN replaces retaliation with concessions under talks or easing
US,1,2,U1,0,US escalates tariff pressure or returns to pressure after talks fail
US,1,4,U3,0,US opens or maintains formal negotiation channel
US,1,5,U1|U3,0,US escalates tariff pressure or returns to pressure after talks fail
US,1,6,U2|U3,0,US shifts from tariff pressure toward easing or negotiation
US,2,3,U1|U2,0,US shifts from tariff pressure toward easing or negotiation
US,2,5,U3,0,US opens or maintains formal negotiation channel
US,2,6,U1|U2|U3,0,US shifts from tariff pressure toward easing or negotiation
US,3,2,U1|U2,0,US escalates tariff pressure or returns to pressure after talks fail
US,3,5,U1|U2|U3,0,US escalates tariff pressure or returns to pressure after talks fail
US,3,6,U3,0,US opens or maintains formal negotiation channel
US,4,1,U3,0,US withdraws easing or talks during breakdown
US,4,2,U1|U3,0,US escalates tariff pressure or returns to pressure after talks fail
US,4,5,U1,0,US escalates tariff pressure or returns to pressure after talks fail
US,4,6,U2,0,US shifts from tariff pressure toward easing or negotiation
US,5,2,U3,0,US withdraws easing or talks during breakdown
US,5,6,U1|U2,0,US shifts from tariff pressure toward easing or negotiation
US,6,2,U1|U2|U3,0,US escalates tariff pressure or returns to pressure after talks fail
US,6,5,U1|U2,0,US escalates tariff pressure or returns to pressure after talks fail
US,6,9,U4,1,US accepts phase agreement after easing and formal talks
US,7,8,U1,0,US escalates tariff pressure or returns to pressure after talks fail
US,7,9,U2,0,US shifts from tariff pressure toward easing or negotiation
US,8,7,U1,0,US shifts from tariff pressure toward easing or negotiation
US,8,9,U1|U2,0,US shifts from tariff pressure toward easing or negotiation
US,9,8,U1|U2,0,US escalates tariff pressure or returns to pressure after talks fail
US,10,11,U1|U2,0,US shifts from tariff pressure toward easing or negotiation
US,10,12,U3,0,US opens or maintains formal negotiation channel
US,10,13,U1|U2|U3,0,US shifts from tariff pressure toward easing or negotiation
US,11,10,U1|U2,0,US escalates tariff pressure or returns to pressure after talks fail
US,11,12,U1|U2|U3,0,US escalates tariff pressure or returns to pressure after talks fail
US,11,13,U3,0,US opens or maintains formal negotiation channel
US,12,10,U3,0,US withdraws easing or talks during breakdown
US,12,13,U1|U2,0,US shifts from tariff pressure toward easing or negotiation
US,13,10,U1|U2|U3,0,US escalates tariff pressure or returns to pressure after talks fail
US,13,12,U1|U2,0,US escalates tariff pressure or returns to pressure after talks fail
US,13,16,U4,1,US accepts phase agreement after easing and formal talks
US,14,15,U1,0,US escalates tariff pressure or returns to pressure after talks fail
US,14,16,U2,0,US shifts from tariff pressure toward easing or negotiation
US,15,14,U1,0,US shifts from tariff pressure toward easing or negotiation
US,15,16,U1|U2,0,US shifts from tariff pressure toward easing or negotiation
US,16,15,U1|U2,0,US escalates tariff pressure or returns to pressure after talks fail
US,17,18,U1,0,US escalates tariff pressure or returns to pressure after talks fail
US,17,19,U2,0,US shifts from tariff pressure toward easing or negotiation
US,17,20,U3,0,US opens or maintains formal negotiation channel
US,17,21,U1|U3,0,US escalates tariff pressure or returns to pressure after talks fail
US,17,22,U2|U3,0,US shifts from tariff pressure toward easing or negotiation
US,18,19,U1|U2,0,US shifts from tariff pressure toward easing or negotiation
US,18,21,U3,0,US opens or maintains formal negotiation channel
US,18,22,U1|U2|U3,0,US shifts from tariff pressure toward easing or negotiation
US,19,18,U1|U2,0,US escalates tariff pressure or returns to pressure after talks fail
US,19,21,U1|U2|U3,0,US escalates tariff pressure or returns to pressure after talks fail
US,19,22,U3,0,US opens or maintains formal negotiation channel
US,20,17,U3,0,US withdraws easing or talks during breakdown
US,20,18,U1|U3,0,US escalates tariff pressure or returns to pressure after talks fail
US,20,21,U1,0,US escalates tariff pressure or returns to pressure after talks fail
US,20,22,U2,0,US shifts from tariff pressure toward easing or negotiation
US,21,18,U3,0,US withdraws easing or talks during breakdown
US,21,22,U1|U2,0,US shifts from tariff pressure toward easing or negotiation
US,22,18,U1|U2|U3,0,US escalates tariff pressure or returns to pressure after talks fail
US,22,21,U1|U2,0,US escalates tariff pressure or returns to pressure after talks fail
US,22,25,U4,1,US accepts phase agreement after easing and formal talks
US,23,24,U1,0,US escalates tariff pressure or returns to pressure after talks fail
US,23,25,U2,0,US shifts from tariff pressure toward easing or negotiation
US,24,23,U1,0,US shifts from tariff pressure toward easing or negotiation
US,24,25,U1|U2,0,US shifts from tariff pressure toward easing or negotiation
US,25,24,U1|U2,0,US escalates tariff pressure or returns to pressure after talks fail
US,26,27,U1|U2,0,US shifts from tariff pressure toward easing or negotiation
US,26,28,U3,0,US opens or maintains formal negotiation channel
US,26,29,U1|U2|U3,0,US shifts from tariff pressure toward easing or negotiation
US,27,26,U1|U2,0,US escalates tariff pressure or returns to pressure after talks fail
US,27,28,U1|U2|U3,0,US escalates tariff pressure or returns to pressure after talks fail
US,27,29,U3,0,US opens or maintains formal negotiation channel
US,28,26,U3,0,US withdraws easing or talks during breakdown
US,28,29,U1|U2,0,US shifts from tariff pressure toward easing or negotiation
US,29,26,U1|U2|U3,0,US escalates tariff pressure or returns to pressure after talks fail
US,29,28,U1|U2,0,US escalates tariff pressure or returns to pressure after talks fail
US,29,32,U4,1,US accepts phase agreement after easing and formal talks
US,30,31,U1,0,US escalates tariff pressure or returns to pressure after talks fail
US,30,32,U2,0,US shifts from tariff pressure toward easing or negotiation
US,31,30,U1,0,US shifts from tariff pressure toward easing or negotiation
US,31,32,U1|U2,0,US shifts from tariff pressure toward easing or negotiation
US,32,31,U1|U2,0,US escalates tariff pressure or returns to pressure after talks fail
US,33,34,U1,0,US escalates tariff pressure or returns to pressure after talks fail
US,33,36,U3,0,US opens or maintains formal negotiation channel
US,33,37,U1|U3,0,US escalates tariff pressure or returns to pressure after talks fail
US,33,38,U2|U3,0,US shifts from tariff pressure toward easing or negotiation
US,34,35,U1|U2,0,US shifts from tariff pressure toward easing or negotiation
US,34,37,U3,0,US opens or maintains formal negotiation channel
US,34,38,U1|U2|U3,0,US shifts from tariff pressure toward easing or negotiation
US,35,34,U1|U2,0,US escalates tariff pressure or returns to pressure after talks fail
US,35,37,U1|U2|U3,0,US escalates tariff pressure or returns to pressure after talks fail
US,35,38,U3,0,US opens or maintains formal negotiation channel
US,36,33,U3,0,US withdraws easing or talks during breakdown
US,36,34,U1|U3,0,US escalates tariff pressure or returns to pressure after talks fail
US,36,37,U1,0,US escalates tariff pressure or returns to pressure after talks fail
US,36,38,U2,0,US shifts from tariff pressure toward easing or negotiation
US,37,34,U3,0,US withdraws easing or talks during breakdown
US,37,38,U1|U2,0,US shifts from tariff pressure toward easing or negotiation
US,38,34,U1|U2|U3,0,US escalates tariff pressure or returns to pressure after talks fail
US,38,37,U1|U2,0,US escalates tariff pressure or returns to pressure after talks fail
US,38,41,U4,1,US accepts phase agreement after easing and formal talks
US,39,40,U1,0,US escalates tariff pressure or returns to pressure after talks fail
US,39,41,U2,0,US shifts from tariff pressure toward easing or negotiation
US,40,39,U1,0,US shifts from tariff pressure toward easing or negotiation
US,40,41,U1|U2,0,US shifts from tariff pressure toward easing or negotiation
US,41,40,U1|U2,0,US escalates tariff pressure or returns to pressure after talks fail
US,42,43,U1|U2,0,US shifts from tariff pressure toward easing or negotiation
US,42,44,U3,0,US opens or maintains formal negotiation channel
US,42,45,U1|U2|U3,0,US shifts from tariff pressure toward easing or negotiation
US,43,42,U1|U2,0,US escalates tariff pressure or returns to pressure after talks fail
US,43,44,U1|U2|U3,0,US escalates tariff pressure or returns to pressure after talks fail
US,43,45,U3,0,US opens or maintains formal negotiation channel
US,44,42,U3,0,US withdraws easing or talks during breakdown
US,44,45,U1|U2,0,US shifts from tariff pressure toward easing or negotiation
US,45,42,U1|U2|U3,0,US escalates tariff pressure or returns to pressure after talks fail
US,45,44,U1|U2,0,US escalates tariff pressure or returns to pressure after talks fail
US,45,48,U4,1,US accepts phase agreement after easing and formal talks
US,46,47,U1,0,US escalates tariff pressure or returns to pressure after talks fail
US,46,48,U2,0,US shifts from tariff pressure toward easing or negotiation
US,47,46,U1,0,US shifts from tariff pressure toward easing or negotiation
US,47,48,U1|U2,0,US shifts from tariff pressure toward easing or negotiation
US,48,47,U1|U2,0,US escalates tariff pressure or returns to pressure after talks fail
US,49,50,U1,0,US escalates tariff pressure or returns to pressure after talks fail
US,49,51,U2,0,US shifts from tariff pressure toward easing or negotiation
US,49,52,U3,0,US opens or maintains formal negotiation channel
US,49,53,U1|U3,0,US escalates tariff pressure or returns to pressure after talks fail
US,49,54,U2|U3,0,US shifts from tariff pressure toward easing or negotiation
US,50,51,U1|U2,0,US shifts from tariff pressure toward easing or negotiation
US,50,53,U3,0,US opens or maintains formal negotiation channel
US,50,54,U1|U2|U3,0,US shifts from tariff pressure toward easing or negotiation
US,51,50,U1|U2,0,US escalates tariff pressure or returns to pressure after talks fail
US,51,53,U1|U2|U3,0,US escalates tariff pressure or returns to pressure after talks fail
US,51,54,U3,0,US opens or maintains formal negotiation channel
US,52,49,U3,0,US withdraws easing or talks during breakdown
US,52,50,U1|U3,0,US escalates tariff pressure or returns to pressure after talks fail
US,52,53,U1,0,US escalates tariff pressure or returns to pressure after talks fail
US,52,54,U2,0,US shifts from tariff pressure toward easing or negotiation
US,53,50,U3,0,US withdraws easing or talks during breakdown
US,53,54,U1|U2,0,US shifts from tariff pressure toward easing or negotiation
US,54,50,U1|U2|U3,0,US escalates tariff pressure or returns to pressure after talks fail
US,54,53,U1|U2,0,US escalates tariff pressure or returns to pressure after talks fail
US,54,57,U4,1,US accepts phase agreement after easing and formal talks
US,55,56,U1,0,US escalates tariff pressure or returns to pressure after talks fail
US,55,57,U2,0,US shifts from tariff pressure toward easing or negotiation
US,56,55,U1,0,US shifts from tariff pressure toward easing or negotiation
US,56,57,U1|U2,0,US shifts from tariff pressure toward easing or negotiation
US,57,56,U1|U2,0,US escalates tariff pressure or returns to pressure after talks fail
US,58,59,U1|U2,0,US shifts from tariff pressure toward easing or negotiation
US,58,60,U3,0,US opens or maintains formal negotiation channel
US,58,61,U1|U2|U3,0,US shifts from tariff pressure toward easing or negotiation
US,59,58,U1|U2,0,US escalates tariff pressure or returns to pressure after talks fail
US,59,60,U1|U2|U3,0,US escalates tariff pressure or returns to pressure after talks fail
US,59,61,U3,0,US opens or maintains formal negotiation channel
US,60,58,U3,0,US withdraws easing or talks during breakdown
US,60,61,U1|U2,0,US shifts from tariff pressure toward easing or negotiation
US,61,58,U1|U2|U3,0,US escalates tariff pressure or returns to pressure after talks fail
US,61,60,U1|U2,0,US escalates tariff pressure or returns to pressure after talks fail
US,61,64,U4,1,US accepts phase agreement after easing and formal talks
US,62,63,U1,0,US escalates tariff pressure or returns to pressure after talks fail
US,62,64,U2,0,US shifts from tariff pressure toward easing or negotiation
US,63,62,U1,0,US shifts from tariff pressure toward easing or negotiation
US,63,64,U1|U2,0,US shifts from tariff pressure toward easing or negotiation
US,64,63,U1|U2,0,US escalates tariff pressure or returns to pressure after talks fail
US,65,66,U1,0,US escalates tariff pressure or returns to pressure after talks fail
US,65,67,U2,0,US shifts from tariff pressure toward easing or negotiation
US,66,65,U1,0,US shifts from tariff pressure toward easing or negotiation
US,66,67,U1|U2,0,US shifts from tariff pressure toward easing or negotiation
US,67,66,U1|U2,0,US escalates tariff pressure or returns to pressure after talks fail
US,68,69,U1,0,US escalates tariff pressure or returns to pressure after talks fail
US,68,70,U2,0,US shifts from tariff pressure toward easing or negotiation
US,69,68,U1,0,US shifts from tariff pressure toward easing or negotiation
US,69,70,U1|U2,0,US shifts from tariff pressure toward easing or negotiation
US,70,69,U1|U2,0,US escalates tariff pressure or returns to pressure after talks fail
US,71,72,U1,0,US escalates tariff pressure or returns to pressure after talks fail
US,71,73,U2,0,US shifts from tariff pressure toward easing or negotiation
US,72,71,U1,0,US shifts from tariff pressure toward easing or negotiation
US,72,73,U1|U2,0,US shifts from tariff pressure toward easing or negotiation
US,73,72,U1|U2,0,US escalates tariff pressure or returns to pressure after talks fail
US,74,75,U1,0,US escalates tariff pressure or returns to pressure after talks fail
US,74,76,U2,0,US shifts from tariff pressure toward easing or negotiation
US,75,74,U1,0,US shifts from tariff pressure toward easing or negotiation
US,75,76,U1|U2,0,US shifts from tariff pressure toward easing or negotiation
US,76,75,U1|U2,0,US escalates tariff pressure or returns to pressure after talks fail
